300000000001111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=10, ones=10, format=True 
300000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=50, ones=52, format=True 
300000000000000000000000000011111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=27, ones=27, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111214444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=78, ones=81, format=False 
300000000000000000000000000000000000000000000011111111111111111111111111111111111111111112414444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=45, ones=44, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444 zeros=95, ones=95, format=True 
300000000000000000000000000000000011111111111101111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=34, ones=30, format=False 
300000000000000011111111101111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=16, ones=16, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444 zeros=91, ones=91, format=True 
300000000000000000000000000000000000111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=35, ones=33, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111224444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=90, ones=86, format=False 
300000000000000000000000000000000000000000011111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=42, ones=40, format=True 
300000000000000000000000000000001111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=31, ones=31, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444 zeros=124, ones=124, format=True 
300000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=66, ones=66, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000001011111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=74, ones=76, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444 zeros=110, ones=109, format=True 
300000000000000000000000000111111111111110111111111111442444444444444444444444414414144444444444424444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=27, ones=29, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444441444444444444444444444444444444444 zeros=101, ones=100, format=False 
300000000000011111111111121444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=12, ones=13, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=90, ones=90, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444 zeros=121, ones=119, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111214 zeros=126, ones=129, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244144444444444444444444441 zeros=117, ones=115, format=False 
300000000011111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=9, ones=11, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444 zeros=107, ones=99, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444 zeros=117, ones=115, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444 zeros=93, ones=93, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444 zeros=114, ones=116, format=True 
300000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=68, ones=68, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011114411111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=89, ones=79, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111121444444444444444444444444444 zeros=114, ones=115, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444 zeros=118, ones=114, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444 zeros=118, ones=116, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444 zeros=99, ones=97, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444 zeros=113, ones=113, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=91, ones=89, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444 zeros=97, ones=95, format=True 
300000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=62, ones=58, format=True 
300000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=49, ones=51, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444 zeros=100, ones=94, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444 zeros=90, ones=92, format=True 
300000000000000000011111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=18, ones=18, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=72, ones=72, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111242444444444444444444444444444444 zeros=112, ones=112, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444 zeros=107, ones=105, format=False 
300000000000000000000000000000000000000000000000000000000000000000000001101111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=71, ones=69, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444 zeros=127, ones=123, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112111244444444444444444444 zeros=117, ones=118, format=False 
300000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=67, ones=67, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=81, ones=77, format=True 
300000000000000000000111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=20, ones=20, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444 zeros=109, ones=109, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111214444444444444444444444444444444444444444444444444444444444444444444444444 zeros=91, ones=92, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=87, ones=85, format=True 
300000000000111101111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=12, ones=11, format=False 
300000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444442444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=54, ones=52, format=False 
300000000000000000000000000000000000000000000000000000000011111111101111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=58, ones=56, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444 zeros=96, ones=94, format=False 
300000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444424444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=68, ones=68, format=False 
300000111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=5, ones=3, format=True 
300000000000000000000000000000000000000000011111411111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=42, ones=41, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111141111111111111111111111111111111111111111111111111111112444444444444 zeros=123, ones=120, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444 zeros=128, ones=122, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=83, ones=83, format=True 
300000000000000000000000000000000000001111111111111111111111111111111111124444444444444444444444444444444444444444444444444244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=37, ones=35, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112424444444444444444444444444444444444444444444444444444444444444444 zeros=94, ones=96, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000001011111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=83, ones=83, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444 zeros=97, ones=95, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444 zeros=119, ones=117, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444 zeros=114, ones=114, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111142444444444444444444444444444444444444441444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=73, ones=69, format=False 
