300000000000000000000000000000000000000000000000000000000000000144112440312114411414211014143110214141310111421014444424141444421014444141244444413314142444414112012444444144004143144401444011421432410112442430211101240414111404144010431200410442344101444344 zeros=84, ones=61, format=False 
300000000000000000000000000000000000000000000000000000441444443344111444110144024414114114044131240441124141410401444441040401004124414300440410404032044443111441412424014131444440041424444411142414144411114404204111121223011044414431441000410413410442304244 zeros=84, ones=56, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000404412141414040444440041224243423014134414042341143044012131443201444400413224411143440411410004203411411411120441444113144421444043214004104011113410444311404244422444404014010414404 zeros=104, ones=45, format=False 
300000000000000000000014441141042330403104044244434444014241124010114444444044342144144404314441401444104041211114041240004121412403414444211320020041124213140401132011444401410433021441424410344441041002144301442014440043431133440444120401444414124411210114 zeros=61, ones=58, format=False 
300000000000000000000000000000000000000000000000000000000000000000000001444143041104411011440244441044310440411441411442442434244144134031441421414244044421442441441440013142401444043312444400441144144414441144211034110114414121114141111432243441144344243443 zeros=87, ones=52, format=False 
300000000000000000000000000000000000000000000000000000000000000000041041400114201420443411234111431040431414441444412414144014443244104243413011141441024440424234404421323414344411404444043111002420141141144141410423204444444142414112144011424442444341441044 zeros=88, ones=49, format=False 
300000000000000000000000000000000000000000000000000000000104332441444011441000332424143021121041444110242414141441114104100021140014344044400011211113123143112442444443241044211443114443244444114141401244114444410111421044434440144100241440141001444441414012 zeros=85, ones=59, format=False 
300131341042244240110424114034401130140410410114310214414114114410033011214241124244342411411110210120444112033041442110111404431404434141414144431444031121043121441141403114400424444441414203014040242322443411341240441144441400441144230114111401440334104043 zeros=40, ones=77, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010122111141144144401142342044414414401431111124440103411441440103110044241442433344141010423441140114140411244441014141042404240001311404144141143004114414441114 zeros=119, ones=54, format=False 
300000000000000000000000000000000000000000000000000000000000014012242411404111111414441411214411411000111434421214444011111410441421001314411101310241041440031414044104441040204310444000044114444100434114123011440444144412441444101100140144334441441133144444 zeros=92, ones=66, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000001211401441444444041444444114144041104403413411434010144444414214412144141114212104441431143114414311011444122144111404404401044110111110433231403144413441340114041214310113 zeros=104, ones=60, format=False 
300001301444411114143114144241444014141410404101140444030111401411340344431141424332124433110244411031410431431410440011222430414220314444104410230444444014420040434024410131244242441000440044410144010441134311441040111443444140042120444113140314444424413430 zeros=46, ones=66, format=False 
300000000000000000000000000001404041421121424424421440114120044441414341421124144411200411111243401414414424424214104431414424144414204140424120441411141104443441044344142414014001440424212442031111131131414134141444403434202420410141443114414444444444111224 zeros=51, ones=66, format=False 
300000000000000000000000000000000000000000000000000000000000000000111444041444214144340442424224411431444342444114112110413414114444120241414041001214443041410144014141113410043124440100411042114141143041400401421410401141141141424011041244210444111144044103 zeros=92, ones=63, format=False 
300000000000000000111444041344244114011141114344404124414000441444424232044410403414121104444111444441043141101003111441401013134403444412441441100303311111444411414310144343443341340444142414144444134111341104404414404434143301123110444414430143134434414040 zeros=47, ones=69, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000014141314411411041011414211330102440131441041144440144444104340104440044443440022100340030114244140414104104421144401411414444414111141244014411312441041444004144011143414443311414 zeros=106, ones=56, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241444414001111340440143311311443442440421140242021040311444411410101340133011114020204014044111144411121403244144444414414141101104401424114131141004044034441 zeros=124, ones=51, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011214430410400441211441211113212444314140404014014331104014014442441444244114041104410244441302044144411044022140411034140041433444111144010114114 zeros=135, ones=45, format=False 
300000000000000000000000000000000000000000000000000000001441144414102044440114410031414140040110411041411413012314444441401441314100411021401144440101141411440144240421440114244334114441104141000141440443444440401230140143411441011443441444411444013114044400 zeros=90, ones=63, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001444434044441411410442434224404101412042400243411140111424144141440403130110411211040414121441413144122034444411040140431442144011241101144444444130141442441411414141 zeros=112, ones=51, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000001141142411111240444014141441044410444114444244114414403444214413414144440401441131444043144414400143100103141000424441012141044444104144014142410444144014411444100214131 zeros=112, ones=51, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011144410114411210143144101424324410444442420144444144440424244124421300044140442404144434010044431414404211444412424440411443414042420144112142 zeros=132, ones=33, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000011141414444444140444114014013120111434402211443414441431401011144410444404414314024414402041312111114012111044201222034411141141130141424444041421110414240103340004144332201214420240444 zeros=99, ones=57, format=False 
300000000000000000000000000000003420340111301044444140244104404111114442411411404411134444414200211101144041401204144341040113121021404444441014342401300241014131444401141402144414104441144411434111443144142431110244114244441111414411424034444444404304110044 zeros=63, ones=69, format=False 
300000000000000041444414414314301143104441111444311441201321444434131114203114413342410444444111110444404411441042444444411444110340014444144414014004414041144414434441101041300414400214144120443414440101244411400404114114434441404114214100241214414444104411 zeros=46, ones=72, format=False 
300000000000000000000000000000000000000000000424004140414421413241142004141102110011124004444340123144434442101112041444441101214103010410314120414420144411442104441042040124310444344111044041044134441441144144244414401420411434110413410114413344114041204144 zeros=78, ones=62, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013444443444331431043430414114411421444110120411314441102144014443144033020110444122214410101114441141442340144424441414440404110121114101114104430414104 zeros=125, ones=48, format=False 
300000000000000000000000103301444141414314411433244413204432044443011134444410021334144024442412104411014400444410044014344443241000144100102344320111104104310400334434444024000340221130041412111212411021123344141142414114114141134141443424010444101413441201 zeros=62, ones=63, format=False 
300000000000000000000001311440101130311214044410341313444240001104444413314440414342404444431110414344122400442224041442144334144114342444144012412342414141343444411144422314114141404111104444014224434440010040343034430341101414434244144041404403100041443444 zeros=55, ones=55, format=False 
300000000000000000000000000000000000000000000000000000000000000000000124214344214342441131442244211141021412104411144141341204400011144404041411411441013240401444104304440400434401144402411434401044110044444404304211444442441044414044141141401401244110441444 zeros=97, ones=51, format=False 
300000000000000000000000000000000000000000000000000000000000000000001414401420141242100231420214314444411142130402411111120221411314441204444410024112341414114441113411102113401014144404004402302110100440420404414044440104014444141412014311411021410143113101 zeros=100, ones=63, format=False 
300000143431414334122013414444243004144144443142103414413144112140440411414111404441414144312100410444443401144434443141414404003441412044121101410313024134142014431141133344414404314410413441114444104144414440424011433044114440401143304344414301111333011414 zeros=35, ones=72, format=False 
300404120123304444341444104110414440440413144044200010141111420414230303401444444104141314114241310141414034112412013341414304144322140312114414403442040112101210114444400024110344434143414444441414124441144040114141034013444434044414444044121414444442144144 zeros=39, ones=67, format=False 
300000000000000000000000001121111441411411444341234441141232004112341410010141304104340144414442121443144204013300310411140101404423311344422414144444411401224101144144114224440144440311444444411010104444124404414121114114114132141144144241114140434204104004 zeros=54, ones=75, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011113101444211220010112414211102441401410441122213413141034241001141111043040410044101124241434444020440141140104434104141414003444112102141010044010344 zeros=135, ones=51, format=False 
300000000000000140030444113111011401414041144144413023141014442143143140044241440144400014341404344400410014300104134412144444341342440204241141134404123141440342110104440441144444444114400444424110441414444414104211444114434421431044201430413114412111021440 zeros=52, ones=66, format=False 
300000000000000000000000000000000000000001401410441134101010421134104004344140124411444414444313040441014244400140141111433441401444411444414344044112410114140424004404314224340134444441434122424024444444420414414441414440411244113230441404440430404414443440 zeros=72, ones=50, format=False 
300000000000000000000000000000000000000000000014404114210140211424210121211411312141144144042110110440141340132411144142442211210000440101442123402241244144404014331441414210124444144440144444441211444144444144203044414441413111144040341441431444414100143442 zeros=71, ones=64, format=False 
300000000000000000000000000000000000000000000000014410144142021231424401142411204341411143242114441334101114201430140112144414422410420441444440242320444341444444144001014444144344111403044014401141114444440441430440434144441012414111140241441141414004041424 zeros=75, ones=58, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000144404434104110014344401344043444412420143413141300434011422000133144241441424404440441244141144422444440441414441424444014444100444004411401114441101111144144044443440432000444134113 zeros=102, ones=42, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114141440443424110114440104444111111414444240414430101023012141401131410141114214113142144142120101401430440441234204111334442424101411444441004440 zeros=131, ones=49, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044141213400141341444404130330430144044310241120014411100444341414004122404104242431414142141411310400431004140440104444412111040124140112344041410111114104402144414 zeros=124, ones=48, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114314110001044411403404132440114142144041444242044410224414444143004141344404414444103401414414041314142044404401141043241443044413314121414141442140444304 zeros=124, ones=39, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111440122114114044111311204024344444404401440101100014204311344414144401414004124114014034014414100441420441104441134314343014211131044044404144011124141410041134421 zeros=120, ones=53, format=False 
300000000000000014214344444441442144044244401141441331431221400114304140144401414332424404144414144141112313114144144444204441310414341434141144011411400124214441411443344144442034144034440423304443414414244041104311444411111141111141412241014041411311442434 zeros=36, ones=73, format=False 
300000000000000000000000000000000000000000000000000000000000144444244400144414031141031010014434041404144100443442401141011314402414034404112404012422410444430141114032104404441401144214044114140400114444441234043334134444414434422404410444424244143044114444 zeros=91, ones=44, format=False 
300000000000000000000000000000000000000014320044001010444103414444131444434241421341044244214244211211040143314140401100443243441134040004414404014434241444441111402411444234230010144441142414444211141442443144211343114044123444430444414442441044404130434144 zeros=68, ones=50, format=False 
300000000000000000000000000000000000000000000001141141142443121021441040114044414342401141442031420441421301444434444010310144004441020201434144120241011404414144014342441200204101402144012122040414401244101110233411141141444414144411444003200404424141144144 zeros=82, ones=59, format=False 
300000000000010401044140104414444214414133040044444010441012444402344404112113412440410111141401144002003442040134111111441414202434411104041124404024114320444110413211444144144134131140444041010414441343244040144014141441441110424412401414124144444412010434 zeros=52, ones=70, format=False 
300000000000000000000000000000000000000000000000000000011442143101441343024221444144304344044114141411311344344110011101101440413144431204101431241401444441131424244440044241424100404111344434134414414114241144114113242044344041401404004412440401112011441144 zeros=80, ones=61, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144404014014444104101144121043144114114444101012101414000423102441104414211010424441144134144401231410420443014324244412134414201 zeros=149, ones=39, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000014103404414414144143414244134340341420404211131400411141131444140044441141414410401014141401004001312114410111144414044444043141414441044041414124110140011214014013434444134 zeros=111, ones=56, format=False 
300000000000000000000000000000000000000000000000001044420144211414140430144413011340141004441144424331444310044104113444424011444414401441231204114434444412430041441004430440111410313420014004444134411101331441444344131314414432411410414224141031410414441314 zeros=78, ones=58, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041433144444432414103443400402424442444141411441101211441403103114041411441414441421343001440433441044043411441414341134134141441411110444143144 zeros=128, ones=42, format=False 
300004412141411400401434144111111413411431140424441041141421044114044123444344131404141400434134041344411240444144440410101441041112441114044410444141344104141431441444410404134241424104044331010404143444424434144441001414441103214044444411444114404444441100 zeros=37, ones=73, format=False 
300000000000000000000000000011130434144140303014041444404144201100404441344410444040441314414011440341444144011201413032441434014141214104044414440414444041444344111444401114410441414440334140441141414411001444434411443144014012413412424441414212241114011444 zeros=59, ones=64, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044131414344144141142441012410312141044441434414412143444444004114414141340013140441440441443102401423134411444024402042441402114444404201030431012441402344414 zeros=120, ones=39, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111004444311444144120421114414414404111112114114144232412340440432444444112312144143444111110214143441440310141234141111414041441421110441441111314443143001424141 zeros=107, ones=61, format=False 
